customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,gender,senior_citizen,has_tech_support,has_streaming,has_online_security,has_online_backup,paperless_billing,num_products,num_support_tickets,avg_call_duration,days_since_last_contact,churn
CUST000015,6,65.06,405.13,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,1,0,0,0,1,0,5.96,43,1
CUST000016,10,58.13,566.11,One year,Mailed check,Fiber optic,Male,No,0,0,0,0,1,3,2,1.61,2,0
CUST000017,22,53.57,1197.91,Month-to-month,Mailed check,DSL,Female,No,0,0,0,0,1,2,1,21.03,3,1
CUST000018,16,47.77,743.94,Month-to-month,Electronic check,Fiber optic,Female,No,1,1,0,0,0,1,3,8.85,9,1
CUST000019,10,76.69,762.4,Month-to-month,Mailed check,No,Male,No,0,1,0,0,1,4,2,18.14,35,0
CUST000020,28,97.77,2703.16,Month-to-month,Mailed check,Fiber optic,Female,No,1,0,0,1,1,2,1,2.92,3,1
CUST000021,4,94.28,372.34,Month-to-month,Electronic check,Fiber optic,Female,No,0,0,1,0,1,3,2,4.25,29,1
CUST000022,10,33.59,334.63,Month-to-month,Mailed check,Fiber optic,Male,No,0,0,1,1,1,4,0,3.35,0,0
CUST000023,13,97.23,1299.36,Month-to-month,Mailed check,Fiber optic,Male,No,0,1,1,0,0,2,2,15.19,33,0
CUST000024,18,57.05,980.73,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,1,0,0,0,0,2,4,7.11,94,1
CUST000025,46,80.02,3621.75,One year,Mailed check,Fiber optic,Male,No,0,0,0,0,1,2,0,2.12,62,1
CUST000026,6,42.34,253.73,Month-to-month,Credit card (automatic),Fiber optic,Female,No,1,0,1,0,1,2,2,5.68,44,0
CUST000027,21,68.55,1433.55,Month-to-month,Mailed check,DSL,Female,Yes,0,1,0,0,0,3,1,6.44,10,1
CUST000028,26,72.84,1788.8,Month-to-month,Mailed check,Fiber optic,Male,Yes,1,0,0,1,1,2,0,15.49,1,1
CUST000029,1,27.88,27.97,One year,Bank transfer (automatic),Fiber optic,Male,Yes,0,0,0,0,1,1,1,2.46,65,0
CUST000030,28,80.21,2196.41,One year,Electronic check,DSL,Male,No,0,0,1,0,0,1,1,2.51,3,0
CUST000031,5,98.65,498.3,Two year,Mailed check,Fiber optic,Female,No,0,1,0,0,0,2,3,1.24,1,1
CUST000032,2,60.63,121.57,Two year,Bank transfer (automatic),No,Female,No,0,1,0,1,0,2,2,1.21,25,0
CUST000033,72,99.0,7226.48,Month-to-month,Mailed check,No,Male,No,0,1,0,0,0,3,0,1.0,22,0
CUST000034,72,60.26,4377.71,Month-to-month,Credit card (automatic),No,Female,No,1,0,1,0,1,2,1,1.0,5,0
CUST000035,49,86.24,4169.26,Month-to-month,Bank transfer (automatic),DSL,Male,Yes,0,0,0,0,0,1,1,2.01,22,1
CUST000036,10,20.0,202.29,Two year,Electronic check,Fiber optic,Female,No,1,0,0,0,1,2,2,2.39,8,0
CUST000037,3,120.0,369.32,One year,Mailed check,DSL,Female,No,0,1,0,0,0,4,1,6.75,43,0
CUST000038,34,102.39,3519.82,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,0,0,1,1,1,3,2.44,54,1
CUST000039,17,57.88,972.79,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,0,1,0,1,1,3,2,20.79,11,1
CUST000040,3,20.0,58.36,Month-to-month,Credit card (automatic),No,Male,No,0,1,0,1,1,3,1,1.0,92,1
CUST000041,20,72.2,1381.87,Month-to-month,Bank transfer (automatic),No,Male,No,0,0,0,0,1,3,0,4.44,14,0
CUST000042,1,28.9,28.18,Two year,Electronic check,DSL,Female,No,0,1,0,0,0,1,1,1.52,79,0
CUST000043,72,76.12,5677.53,One year,Electronic check,DSL,Female,No,1,1,0,0,1,4,0,1.0,25,0
CUST000044,8,75.29,592.79,One year,Bank transfer (automatic),No,Male,No,0,0,0,0,1,3,3,3.85,5,0
CUST000045,32,41.46,1343.33,Month-to-month,Electronic check,No,Male,Yes,0,0,0,0,1,4,2,8.94,16,0
CUST000046,11,93.02,1004.87,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,1,0,1,0,1,2,1,18.85,12,0
CUST000047,22,85.14,1859.33,One year,Credit card (automatic),Fiber optic,Female,No,1,1,1,0,1,3,1,1.0,47,0
CUST000048,23,89.4,2007.65,One year,Bank transfer (automatic),Fiber optic,Female,Yes,0,1,0,1,0,3,3,13.13,47,0
CUST000049,6,65.22,390.68,Month-to-month,Mailed check,Fiber optic,Female,No,0,0,1,1,1,2,3,1.31,54,0
CUST000050,72,29.61,2146.85,Month-to-month,Bank transfer (automatic),DSL,Female,No,0,1,0,0,1,2,0,3.79,2,0
CUST000051,44,89.45,3859.45,Two year,Electronic check,Fiber optic,Male,No,0,1,0,1,1,3,3,8.35,1,1
CUST000052,72,58.24,4183.83,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,1,1,1,0,1,1,1,2.63,73,0
CUST000053,67,30.26,2072.35,Month-to-month,Bank transfer (automatic),DSL,Male,Yes,1,1,0,0,1,3,1,19.26,7,0
CUST000054,27,98.8,2737.01,Month-to-month,Mailed check,No,Female,No,0,0,1,0,0,1,1,6.16,14,0
CUST000055,72,117.49,8672.7,One year,Electronic check,DSL,Male,No,1,0,0,1,0,1,1,7.84,21,0
CUST000056,2,63.97,129.2,Month-to-month,Credit card (automatic),Fiber optic,Male,Yes,0,0,1,0,1,3,2,1.61,89,1
CUST000057,6,118.98,744.22,One year,Mailed check,Fiber optic,Female,Yes,1,0,0,1,0,1,1,4.71,33,0
CUST000058,1,67.28,67.51,Month-to-month,Electronic check,Fiber optic,Female,No,0,0,1,1,1,5,1,1.0,11,1
CUST000059,11,55.49,615.51,Month-to-month,Credit card (automatic),DSL,Female,Yes,1,1,1,1,0,4,2,5.61,30,0
CUST000060,14,49.24,674.63,One year,Bank transfer (automatic),Fiber optic,Female,No,1,1,0,1,1,3,1,5.47,103,0
CUST000061,9,105.93,973.19,One year,Bank transfer (automatic),DSL,Male,No,0,0,0,0,1,4,0,3.95,0,0
CUST000062,52,45.5,2405.67,Two year,Mailed check,Fiber optic,Female,No,0,1,1,0,1,4,2,7.21,6,0
CUST000063,13,83.38,1103.83,Month-to-month,Credit card (automatic),DSL,Female,No,1,1,0,0,1,2,0,11.07,29,1
CUST000064,9,51.02,437.91,Month-to-month,Bank transfer (automatic),DSL,Female,No,0,0,0,0,1,4,1,1.0,0,1
CUST000065,23,53.49,1214.06,One year,Mailed check,No,Female,No,0,1,0,1,1,1,1,2.57,60,0
CUST000066,4,90.76,370.24,Month-to-month,Bank transfer (automatic),Fiber optic,Female,Yes,1,0,0,0,1,2,3,1.31,15,1
CUST000067,48,55.5,2620.22,Month-to-month,Electronic check,DSL,Female,No,0,1,1,1,1,3,2,2.44,45,0
CUST000068,2,54.88,110.9,Month-to-month,Electronic check,No,Male,No,1,1,0,1,0,3,3,1.39,39,1
CUST000069,72,93.32,6699.06,Month-to-month,Electronic check,DSL,Male,No,1,0,1,1,1,1,0,12.96,28,1
CUST000070,44,104.93,4687.72,Month-to-month,Electronic check,DSL,Male,No,0,0,0,0,0,2,0,1.0,27,1
CUST000071,6,81.12,504.32,Two year,Bank transfer (automatic),DSL,Female,No,0,0,0,0,1,3,2,1.07,151,0
CUST000072,1,48.63,47.63,Two year,Electronic check,Fiber optic,Male,No,0,0,0,0,1,2,1,7.38,1,0
CUST000073,50,52.23,2647.38,Two year,Bank transfer (automatic),Fiber optic,Female,No,0,1,0,0,1,3,0,40.31,16,0
CUST000074,36,67.0,2422.7,Two year,Mailed check,DSL,Male,No,0,1,0,0,1,3,2,20.22,53,0
CUST000075,39,73.02,2819.68,Month-to-month,Mailed check,DSL,Male,No,1,1,0,0,0,2,2,7.63,17,0
CUST000076,44,40.3,1801.54,Month-to-month,Electronic check,Fiber optic,Female,No,1,1,1,0,1,1,1,4.07,40,0
CUST000077,2,83.08,167.41,One year,Mailed check,Fiber optic,Male,No,0,1,1,1,1,3,2,3.91,43,1
CUST000078,13,67.14,865.58,Two year,Electronic check,No,Female,No,0,0,0,0,1,2,3,16.08,4,0
CUST000079,3,22.11,66.53,Month-to-month,Mailed check,Fiber optic,Female,No,0,1,0,0,0,1,2,1.0,76,1
CUST000080,59,41.78,2418.76,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,0,0,0,0,1,2,4,2.74,20,0
CUST000081,29,52.4,1553.16,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,0,0,0,0,0,2,0,1.22,41,0
CUST000082,12,63.18,748.82,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,0,1,0,1,0,1,1,1.83,91,1
CUST000083,1,112.23,110.09,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,0,1,1,1,1,2,2,1.0,26,0
CUST000084,11,70.95,800.99,Month-to-month,Credit card (automatic),DSL,Male,No,1,1,0,0,0,3,4,2.39,30,0
CUST000085,11,43.98,467.82,Two year,Electronic check,Fiber optic,Female,No,0,0,0,1,1,3,2,2.21,11,0
CUST000086,39,70.52,2771.66,Month-to-month,Credit card (automatic),Fiber optic,Male,No,0,1,0,0,0,4,1,2.41,32,1
CUST000087,30,56.2,1708.22,Two year,Mailed check,DSL,Female,Yes,0,1,0,0,0,1,2,2.03,3,1
CUST000088,65,73.12,4691.95,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,0,0,1,0,2,0,2.04,8,1
CUST000089,19,79.51,1500.88,Two year,Bank transfer (automatic),Fiber optic,Female,Yes,1,1,0,1,1,3,1,13.6,52,0
CUST000090,3,95.23,284.0,Month-to-month,Mailed check,DSL,Male,No,0,1,0,1,1,3,1,10.48,19,1
CUST000091,37,64.39,2386.29,One year,Credit card (automatic),DSL,Male,No,0,1,0,0,1,3,1,9.25,2,0
CUST000092,42,105.97,4445.76,Month-to-month,Electronic check,DSL,Male,No,1,0,0,0,1,3,2,2.18,47,1
CUST000093,24,87.7,2082.86,One year,Mailed check,Fiber optic,Female,No,0,1,1,1,1,3,2,7.3,44,0
CUST000094,44,47.31,2046.7,Two year,Electronic check,Fiber optic,Male,No,0,0,1,0,1,1,2,11.05,4,0
CUST000095,20,120.0,2462.49,Month-to-month,Electronic check,Fiber optic,Male,Yes,1,1,0,0,0,3,1,1.89,25,1
CUST000096,22,73.17,1635.84,Month-to-month,Bank transfer (automatic),DSL,Male,Yes,1,1,0,0,0,3,0,4.33,34,0
CUST000097,16,44.12,698.64,Month-to-month,Electronic check,Fiber optic,Female,No,1,1,0,1,1,5,4,6.8,8,1
CUST000098,1,106.32,103.62,Month-to-month,Credit card (automatic),DSL,Female,No,1,1,1,1,1,3,1,2.31,70,0
CUST000099,3,116.94,364.77,Month-to-month,Bank transfer (automatic),DSL,Male,No,0,1,0,0,0,3,1,10.46,23,1
CUST000100,1,64.17,65.91,One year,Mailed check,Fiber optic,Male,Yes,0,0,0,0,0,2,0,6.94,115,0
CUST000101,30,52.41,1556.88,Month-to-month,Electronic check,Fiber optic,Male,No,1,0,0,0,1,4,3,2.91,80,0
CUST000102,11,60.69,692.79,One year,Electronic check,Fiber optic,Female,No,1,0,0,0,0,5,2,3.6,80,1
CUST000103,21,82.87,1701.84,Two year,Credit card (automatic),DSL,Male,No,1,0,0,0,0,3,1,3.64,6,0
CUST000104,71,96.95,6713.39,One year,Bank transfer (automatic),Fiber optic,Female,Yes,0,1,0,0,1,3,1,5.08,14,0
CUST000105,8,79.26,654.34,Month-to-month,Electronic check,Fiber optic,Female,No,0,0,1,1,1,1,0,6.29,0,1
CUST000106,15,67.54,1005.73,One year,Electronic check,Fiber optic,Female,No,1,0,1,0,1,3,3,5.21,52,1
CUST000107,42,102.45,4341.59,Month-to-month,Electronic check,DSL,Female,Yes,0,0,1,0,0,3,1,1.32,24,1
CUST000108,7,57.18,396.21,Month-to-month,Electronic check,Fiber optic,Female,Yes,0,0,0,0,0,3,2,8.76,8,1
CUST000109,2,90.77,182.85,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,0,0,0,0,1,0,1.0,42,0
CUST000110,10,57.8,575.06,Two year,Bank transfer (automatic),No,Male,Yes,1,0,1,0,0,3,0,1.47,79,0
CUST000111,5,75.78,385.85,One year,Mailed check,No,Female,No,1,0,0,1,1,2,3,8.51,25,0
CUST000112,72,62.16,4509.29,Month-to-month,Credit card (automatic),No,Female,No,1,0,0,0,1,3,1,4.75,24,0
CUST000113,49,63.6,3108.34,Month-to-month,Electronic check,Fiber optic,Female,No,1,0,0,0,1,2,2,6.76,22,1
CUST000114,30,55.57,1680.06,Month-to-month,Mailed check,No,Male,No,1,1,0,1,1,3,1,2.6,134,1
CUST000115,61,98.62,6176.85,Two year,Bank transfer (automatic),DSL,Female,No,0,0,0,0,1,2,4,1.0,38,0
CUST000116,48,46.68,2281.58,Two year,Electronic check,DSL,Female,No,1,1,0,1,1,1,1,22.46,38,1
CUST000117,6,46.49,287.0,Month-to-month,Mailed check,Fiber optic,Female,No,0,0,1,0,1,3,1,5.87,7,0
CUST000118,66,118.02,7820.88,Month-to-month,Bank transfer (automatic),No,Female,No,1,1,0,0,1,1,0,4.92,35,0
CUST000119,23,89.45,2131.88,One year,Mailed check,Fiber optic,Male,No,1,1,1,1,1,3,2,21.76,50,0
CUST000120,49,20.0,968.41,Month-to-month,Mailed check,DSL,Female,Yes,0,0,0,1,1,4,0,32.94,3,0
CUST000121,67,50.87,3580.37,Month-to-month,Bank transfer (automatic),Fiber optic,Female,Yes,1,0,1,0,1,5,2,1.0,48,0
CUST000122,11,20.0,218.55,One year,Mailed check,DSL,Female,No,0,0,0,0,1,2,4,3.08,108,0
CUST000123,3,41.23,123.48,Month-to-month,Electronic check,Fiber optic,Male,No,1,0,1,1,1,4,0,8.12,28,1
CUST000124,7,20.0,144.12,One year,Electronic check,DSL,Male,No,1,0,0,1,0,2,1,17.92,54,0
CUST000125,16,61.58,983.23,Month-to-month,Mailed check,DSL,Female,No,0,0,1,0,0,4,0,7.03,27,0
CUST000126,51,36.45,1821.51,One year,Electronic check,DSL,Male,No,0,1,1,0,0,3,1,33.06,0,0
CUST000127,59,66.5,3974.42,One year,Credit card (automatic),Fiber optic,Male,No,0,1,0,0,0,1,1,9.16,24,0
CUST000128,1,24.37,24.6,Month-to-month,Credit card (automatic),Fiber optic,Female,No,0,0,0,0,0,2,2,1.0,88,0
CUST000129,21,67.07,1417.45,One year,Mailed check,DSL,Female,Yes,0,1,0,0,1,2,1,5.4,29,0
CUST000130,16,54.63,900.87,Month-to-month,Credit card (automatic),Fiber optic,Female,Yes,0,0,0,1,0,3,1,24.89,29,0
CUST000131,7,102.55,697.87,Month-to-month,Mailed check,Fiber optic,Male,No,1,0,1,1,1,2,0,1.58,44,0
CUST000132,3,100.28,305.57,Month-to-month,Electronic check,No,Male,No,0,0,1,0,1,3,0,21.95,20,1
CUST000133,12,84.63,1018.28,Month-to-month,Bank transfer (automatic),No,Male,No,0,1,0,1,1,3,2,2.5,59,0
CUST000134,72,56.83,4015.26,Month-to-month,Bank transfer (automatic),DSL,Male,No,0,1,0,0,1,5,2,19.53,13,0
CUST000135,11,114.63,1314.62,One year,Electronic check,DSL,Female,Yes,1,1,0,1,0,4,0,7.53,20,0
CUST000136,21,26.17,547.4,Month-to-month,Electronic check,DSL,Female,No,0,1,0,0,0,2,0,3.67,77,1
CUST000137,36,29.91,1055.34,Month-to-month,Electronic check,Fiber optic,Male,No,0,0,0,0,1,3,1,19.32,58,1
CUST000138,13,62.91,826.6,Two year,Electronic check,Fiber optic,Female,No,0,1,0,1,1,4,1,1.0,5,0
CUST000139,72,120.0,8597.87,One year,Electronic check,DSL,Female,Yes,1,0,0,0,1,4,0,10.72,29,0
CUST000140,72,59.94,4119.63,Month-to-month,Bank transfer (automatic),No,Female,No,1,0,0,0,1,1,1,7.2,59,0
CUST000141,8,60.42,480.76,Month-to-month,Electronic check,Fiber optic,Male,No,0,0,0,0,1,2,1,3.81,143,1
CUST000142,20,28.95,607.58,Month-to-month,Electronic check,Fiber optic,Female,No,0,0,1,1,1,2,0,6.14,175,1
CUST000143,10,88.65,880.13,Month-to-month,Electronic check,Fiber optic,Female,No,0,0,0,0,1,2,0,11.51,15,0
CUST000144,10,88.83,874.92,Two year,Credit card (automatic),Fiber optic,Male,No,1,0,0,0,0,1,5,1.0,45,0
CUST000145,1,84.73,86.24,Month-to-month,Mailed check,Fiber optic,Female,No,1,0,0,0,0,2,0,2.46,124,0
CUST000146,28,49.27,1390.74,One year,Mailed check,No,Female,Yes,0,1,0,1,0,3,3,3.84,42,0
CUST000147,20,47.33,942.59,Two year,Mailed check,DSL,Male,No,0,0,0,0,1,2,0,10.55,14,0
CUST000148,1,32.67,31.44,One year,Bank transfer (automatic),Fiber optic,Female,Yes,1,0,0,0,1,3,2,18.57,26,0
CUST000149,9,67.1,582.64,Month-to-month,Mailed check,DSL,Female,No,1,0,0,0,0,1,3,21.61,54,0
CUST000150,71,37.99,2658.84,One year,Electronic check,Fiber optic,Male,Yes,0,0,1,0,1,4,1,3.83,55,0
CUST000151,8,35.56,288.85,Two year,Electronic check,Fiber optic,Female,No,0,1,0,1,1,4,2,4.9,34,0
CUST000152,4,54.41,219.6,One year,Electronic check,DSL,Female,No,0,1,0,0,1,3,2,19.03,11,0
CUST000153,20,52.77,1045.9,Two year,Mailed check,DSL,Male,No,0,1,1,0,1,4,3,1.0,54,0
CUST000154,72,51.55,3839.9,Month-to-month,Electronic check,DSL,Male,No,0,0,0,1,1,1,2,10.59,5,0
CUST000155,8,76.66,592.8,Two year,Electronic check,Fiber optic,Male,No,1,0,0,1,1,3,4,7.25,39,0
CUST000156,33,66.98,2209.33,Two year,Bank transfer (automatic),Fiber optic,Male,No,0,1,0,0,1,1,5,1.61,154,1
CUST000157,43,57.8,2445.47,Month-to-month,Mailed check,No,Male,No,0,1,0,1,1,2,0,12.9,118,1
CUST000158,8,69.58,554.92,One year,Bank transfer (automatic),DSL,Male,No,0,0,1,1,1,2,5,1.0,8,0
CUST000159,39,40.21,1505.02,One year,Mailed check,DSL,Male,No,1,0,1,0,1,3,2,1.08,59,0
CUST000160,13,67.63,860.17,One year,Credit card (automatic),Fiber optic,Male,No,0,0,0,1,1,2,1,6.36,1,0
CUST000161,30,68.77,2084.58,Two year,Credit card (automatic),DSL,Female,No,1,1,0,0,1,3,1,2.94,22,0
CUST000162,30,27.42,843.39,Month-to-month,Credit card (automatic),DSL,Male,No,0,1,0,0,0,2,0,1.0,3,0
CUST000163,23,89.89,2061.82,One year,Credit card (automatic),Fiber optic,Male,No,0,1,0,0,1,4,3,9.62,42,0
CUST000164,2,42.96,84.43,One year,Electronic check,No,Female,Yes,0,0,1,1,0,3,0,1.38,10,0
CUST000165,54,67.26,3601.22,One year,Bank transfer (automatic),No,Male,No,0,1,1,1,1,2,0,31.46,1,0
CUST000166,11,94.11,1019.06,One year,Electronic check,DSL,Male,Yes,1,1,1,1,0,2,1,22.19,19,0
CUST000167,6,88.14,528.47,Month-to-month,Bank transfer (automatic),DSL,Male,No,0,0,1,1,1,4,3,4.16,25,1
CUST000168,1,65.86,65.49,Month-to-month,Mailed check,Fiber optic,Male,No,1,1,1,0,1,2,2,11.0,70,0
CUST000169,26,55.94,1444.55,Two year,Electronic check,Fiber optic,Female,No,0,1,0,0,1,2,1,13.16,57,0
CUST000170,33,88.69,2942.1,Two year,Credit card (automatic),Fiber optic,Male,No,1,1,0,1,1,3,1,6.55,43,1
CUST000171,1,81.87,82.93,Month-to-month,Electronic check,Fiber optic,Male,No,0,0,1,1,0,2,0,13.3,1,0
CUST000172,21,49.54,1036.25,One year,Bank transfer (automatic),DSL,Male,Yes,0,0,0,0,1,2,1,12.69,21,0
CUST000173,7,45.13,313.62,Two year,Bank transfer (automatic),DSL,Male,No,1,0,0,0,0,2,2,35.1,44,0
CUST000174,31,20.0,616.64,One year,Electronic check,No,Female,No,0,0,0,1,0,2,1,2.73,69,0
CUST000175,5,68.85,356.85,One year,Mailed check,Fiber optic,Male,Yes,0,1,0,0,0,2,1,16.77,27,1
CUST000176,35,62.93,2173.7,Month-to-month,Electronic check,No,Female,Yes,1,1,0,0,0,1,2,8.85,40,0
CUST000177,14,93.4,1287.13,One year,Credit card (automatic),Fiber optic,Male,No,1,0,0,0,0,2,1,1.52,12,0
CUST000178,72,73.98,5130.26,One year,Credit card (automatic),Fiber optic,Female,Yes,0,0,1,1,0,2,0,1.39,12,0
CUST000179,4,98.36,389.68,One year,Bank transfer (automatic),DSL,Male,No,1,0,0,0,0,5,1,12.39,21,0
CUST000180,12,47.57,567.87,One year,Credit card (automatic),Fiber optic,Male,No,0,0,0,1,1,3,2,4.19,28,0
CUST000181,3,93.45,286.25,Month-to-month,Electronic check,No,Female,Yes,0,0,1,0,0,3,0,16.75,107,1
CUST000182,72,51.78,3869.43,Two year,Mailed check,DSL,Male,No,1,0,0,0,0,1,0,5.77,2,0
CUST000183,62,84.44,5218.64,One year,Electronic check,DSL,Male,No,1,0,0,1,1,1,4,2.94,63,0
CUST000184,8,28.53,220.3,One year,Mailed check,Fiber optic,Female,No,0,1,0,1,1,4,1,15.38,22,0
CUST000185,32,70.88,2239.45,Two year,Electronic check,Fiber optic,Male,No,1,1,0,1,0,3,1,19.61,0,0
CUST000186,50,20.0,1018.27,Two year,Mailed check,Fiber optic,Male,No,1,0,0,0,1,1,0,5.17,26,0
CUST000187,24,58.32,1389.97,Two year,Bank transfer (automatic),Fiber optic,Male,No,1,0,0,0,0,2,2,5.38,33,0
CUST000188,22,76.01,1699.99,One year,Electronic check,Fiber optic,Female,No,0,1,0,0,0,2,2,19.75,12,0
CUST000189,8,51.98,413.32,Month-to-month,Electronic check,Fiber optic,Female,No,1,1,0,0,1,4,1,3.33,14,1
CUST000190,2,38.74,78.61,Month-to-month,Electronic check,Fiber optic,Male,Yes,0,0,0,0,1,1,2,8.07,43,1
CUST000191,68,86.15,6076.57,Month-to-month,Bank transfer (automatic),DSL,Female,No,0,1,0,1,0,3,1,1.0,17,0
CUST000192,69,62.41,4299.38,Month-to-month,Electronic check,DSL,Female,No,1,1,0,0,1,3,2,56.06,1,1
CUST000193,30,52.76,1574.1,One year,Electronic check,Fiber optic,Female,No,1,0,0,1,1,5,1,1.16,1,0
CUST000194,12,66.05,791.17,Month-to-month,Bank transfer (automatic),Fiber optic,Female,Yes,0,0,1,0,1,4,0,1.57,1,0
CUST000195,12,120.0,1426.12,Two year,Electronic check,No,Male,Yes,0,1,0,0,1,2,1,1.33,6,1
CUST000196,38,93.84,3543.55,One year,Mailed check,Fiber optic,Male,No,0,0,0,0,1,3,1,1.0,49,0
CUST000197,68,94.06,6359.35,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,0,1,0,1,3,2,11.96,72,0
CUST000198,65,75.89,4875.17,Month-to-month,Bank transfer (automatic),DSL,Female,Yes,1,0,0,0,0,3,1,4.79,11,0
CUST000199,45,69.16,3176.26,Month-to-month,Mailed check,Fiber optic,Male,No,0,1,0,1,0,4,0,5.01,42,0
CUST000200,30,20.0,607.08,Two year,Electronic check,DSL,Female,No,0,0,0,0,1,4,1,28.81,144,0
CUST000201,2,48.03,95.85,Month-to-month,Electronic check,Fiber optic,Male,No,0,0,1,0,0,1,1,1.98,56,1
CUST000202,5,52.99,265.88,One year,Bank transfer (automatic),DSL,Male,No,1,1,0,0,0,1,1,1.0,29,0
CUST000203,68,20.0,1323.53,One year,Electronic check,DSL,Male,No,1,0,1,1,1,3,3,7.49,2,0
CUST000204,27,36.06,986.56,One year,Credit card (automatic),Fiber optic,Male,No,1,1,0,0,0,2,1,4.64,57,1
CUST000205,1,20.0,19.77,Month-to-month,Mailed check,DSL,Male,No,1,0,0,0,1,1,0,1.8,3,0
CUST000206,3,64.04,187.03,Month-to-month,Mailed check,Fiber optic,Male,No,0,0,0,0,0,2,1,5.15,7,0
CUST000207,32,85.47,2810.96,Month-to-month,Electronic check,Fiber optic,Male,No,1,1,0,0,1,4,0,1.66,20,1
CUST000208,1,92.67,91.88,Month-to-month,Credit card (automatic),No,Male,No,0,1,0,1,1,1,1,25.02,3,1
CUST000209,5,75.37,369.49,One year,Bank transfer (automatic),DSL,Female,No,1,0,1,0,0,3,0,18.02,17,0
CUST000210,23,40.92,908.0,Month-to-month,Mailed check,DSL,Male,No,0,0,1,1,1,1,5,5.92,12,0
CUST000211,35,20.0,712.59,Month-to-month,Bank transfer (automatic),Fiber optic,Female,No,0,1,0,0,1,1,1,4.77,8,1
CUST000212,31,21.08,651.12,Month-to-month,Mailed check,DSL,Female,No,1,0,1,1,0,2,2,2.65,19,0
CUST000213,7,33.28,240.22,One year,Mailed check,No,Female,No,1,0,0,0,1,1,0,10.29,5,0
CUST000214,37,42.78,1594.76,Month-to-month,Mailed check,DSL,Female,No,0,0,0,0,0,4,5,1.19,2,1
CUST000215,8,61.01,485.64,Month-to-month,Mailed check,Fiber optic,Female,No,0,0,0,0,0,4,6,10.71,44,1
CUST000216,11,39.65,433.06,One year,Electronic check,DSL,Male,No,1,1,1,0,1,3,0,4.87,16,0
CUST000217,41,73.47,3029.01,Month-to-month,Electronic check,Fiber optic,Male,No,1,0,0,0,0,2,0,6.66,4,1
CUST000218,31,59.19,1896.58,Month-to-month,Electronic check,No,Male,No,1,1,0,1,0,2,2,9.31,63,1
CUST000219,56,65.26,3581.27,Month-to-month,Electronic check,Fiber optic,Female,No,0,1,1,0,0,1,1,10.48,69,0
CUST000220,32,93.51,3003.81,Two year,Electronic check,Fiber optic,Male,Yes,1,0,0,0,0,2,0,9.12,5,0
